# 181 known solutions of x1^6+...+x7^6 = z^6 (primitive, z < 424000)
# reconstructed from http://euler.free.fr/database.txt (the uploaded database.txt was corrupt)
# plus three new 2nd-kind primitives from this project's solve_617_v1 Branch A (07/2026)
# format: z = x1 + x2 + ... + x7  | kind | discoverer
8869 = 8028 + 7368 + 5710 + 5382 + 1755 + 1278 + 330  | 1st kind (7|z) | Peter J Ansell, 01/2009
9065 = 7830 + 7458 + 7216 + 4692 + 2826 + 951 + 492  | 1st kind (7|z) | Peter J Ansell, 01/2009
9079 = 8535 + 6702 + 6582 + 3270 + 2616 + 1546 + 54  | 1st kind (7|z) | Peter J Ansell, 01/2009
9121 = 8334 + 7743 + 4614 + 4530 + 4244 + 3030 + 2598  | 1st kind (7|z) | Peter J Ansell, 03/2009
9191 = 8388 + 7356 + 6759 + 2778 + 2334 + 2178 + 286  | 1st kind (7|z) | Peter J Ansell, 03/2009
9233 = 8958 + 6801 + 3954 + 1356 + 1236 + 1214 + 690  | 1st kind (7|z) | Peter J Ansell, 01/2009
9359 = 9264 + 5391 + 4488 + 4374 + 2370 + 1122 + 1090  | 1st kind (7|z) | Peter J Ansell, 01/2009
9401 = 8034 + 7836 + 7527 + 4450 + 2556 + 540 + 522  | 1st kind (7|z) | Peter J Ansell, 03/2009
9443 = 9354 + 5283 + 4408 + 4392 + 3756 + 2112 + 1494  | 1st kind (7|z) | Peter J Ansell, 03/2009
9625 = 8114 + 7815 + 7788 + 5718 + 5136 + 4194 + 1452  | 1st kind (7|z) | Peter J Ansell, 01/2009
9695 = 9537 + 6288 + 4878 + 3702 + 2162 + 618 + 306  | 1st kind (7|z) | Peter J Ansell, 01/2009
9737 = 9318 + 7064 + 6402 + 3984 + 2886 + 1062 + 393  | 1st kind (7|z) | Peter J Ansell, 03/2009
9779 = 9372 + 7608 + 3597 + 2790 + 2616 + 1242 + 788  | 1st kind (7|z) | Peter J Ansell, 01/2009
9821 = 9092 + 8082 + 5652 + 5220 + 3102 + 1347 + 246  | 1st kind (7|z) | Peter J Ansell, 01/2009
9877 = 9624 + 6438 + 5589 + 5154 + 4860 + 2516 + 1044  | 1st kind (7|z) | Peter J Ansell, 03/2009
10031 = 8598 + 7884 + 7601 + 6882 + 5844 + 5496 + 4482  | 1st kind (7|z) | Peter J Ansell, 01/2009
10073 = 8858 + 7719 + 7584 + 6750 + 6000 + 5142 + 1122  | 1st kind (7|z) | Peter J Ansell, 03/2009
10199 = 9210 + 8886 + 5097 + 4138 + 2550 + 1854 + 894  | 1st kind (7|z) | Peter J Ansell, 03/2009
10339 = 9714 + 8334 + 5238 + 4974 + 4296 + 3998 + 573  | 1st kind (7|z) | Peter J Ansell, 05/2009
10339 = 8928 + 8382 + 7722 + 6435 + 6428 + 4920 + 2760  | 1st kind (7|z) | Peter J Ansell, 05/2009
10409 = 9194 + 8982 + 7209 + 3546 + 2712 + 2046 + 108  | 1st kind (7|z) | Peter J Ansell, 05/2009
10661 = 9060 + 8496 + 7902 + 7290 + 7173 + 4586 + 1224  | 1st kind (7|z) | Peter J Ansell, 05/2009
10759 = 10030 + 8562 + 6312 + 5448 + 5433 + 5352 + 2676  | 1st kind (7|z) | Peter J Ansell, 05/2009
10829 = 10050 + 9102 + 4614 + 3666 + 3053 + 2826 + 2460  | 1st kind (7|z) | Peter J Ansell, 03/2009
10843 = 10188 + 8742 + 5532 + 5214 + 4716 + 3067 + 726  | 1st kind (7|z) | Peter J Ansell, 03/2009
11417 = 9918 + 9054 + 8448 + 8292 + 5100 + 4135 + 3084  | 1st kind (7|z) | Peter J Ansell, 03/2009
11557 = 10530 + 8922 + 8388 + 7332 + 4734 + 2340 + 379  | 1st kind (7|z) | Peter J Ansell, 01/2009
12313 = 12270 + 6408 + 3540 + 3239 + 1710 + 972 + 180  | 1st kind (7|z) | Peter J Ansell, 01/2009
12691 = 12205 + 8466 + 8376 + 7254 + 4836 + 2724 + 2484  | 1st kind (7|z) | Peter J Ansell, 01/2009
14833 = 13296 + 11160 + 10530 + 10320 + 9216 + 4626 + 719  | 1st kind (7|z) | Peter J Ansell, 01/2009
26159 = 23292 + 21696 + 18990 + 12721 + 12456 + 10782 + 4590  | 1st kind (7|z) | Peter J Ansell, 01/2009
34781 = 33354 + 24360 + 21252 + 19229 + 18480 + 10920 + 8190  | 2nd kind | Jean-Charles Meyrignac, Wannes de Smedt
36883 = 34452 + 28620 + 23388 + 22500 + 10259 + 10152 + 1116  | 1st kind (7|z) | Peter J Ansell, 01/2009
38191 = 34223 + 33726 + 16506 + 12432 + 9102 + 7266 + 6216  | 2nd kind | Jean-Charles Meyrignac, Wannes de Smedt
39779 = 37506 + 31752 + 22008 + 17955 + 12516 + 11834 + 2940  | 2nd kind | Jean-Charles Meyrignac, Wannes de Smedt
54347 = 48846 + 46032 + 33376 + 32748 + 19467 + 3150 + 2100  | 2nd kind | Wannes de Smedt
59819 = 51744 + 48342 + 44310 + 42966 + 9402 + 8715 + 7574  | 2nd kind | Wannes de Smedt
63631 = 54138 + 54018 + 48090 + 39088 + 25263 + 23268 + 1344  | 2nd kind | Wannes de Smedt
66029 = 58758 + 51891 + 51366 + 38892 + 25582 + 20916 + 12264  | 2nd kind | Wannes de Smedt
67681 = 65100 + 49968 + 35574 + 33138 + 32046 + 8001 + 2800  | 2nd kind | Wannes de Smedt
70513 = 60550 + 57978 + 57246 + 26040 + 21672 + 18417 + 13314  | 2nd kind | Wannes de Smedt
78919 = 75978 + 57890 + 40761 + 38730 + 38598 + 26124 + 13776  | 2nd kind | Wannes de Smedt
89797 = 83580 + 67704 + 60018 + 58450 + 27852 + 11739 + 10038  | 2nd kind | Wannes de Smedt
97081 = 86632 + 81522 + 69930 + 37401 + 31752 + 21798 + 20568  | 2nd kind | Wannes de Smedt
108805 = 94038 + 85512 + 81221 + 75420 + 65856 + 53676 + 17178  | 2nd kind | Wannes de Smedt
123943 = 111783 + 106204 + 73122 + 66402 + 29442 + 12684 + 6294  | 2nd kind | Greg Childers, 07/06/2000
125945 = 116382 + 87276 + 85680 + 82306 + 81447 + 62664 + 41622  | 2nd kind | Greg Childers, 07/06/2000
127195 = 113442 + 101346 + 99498 + 60613 + 14616 + 9546 + 7350  | 2nd kind | Greg Childers, 08/02/2000
130783 = 120330 + 100408 + 85665 + 83034 + 72030 + 65688 + 29190  | 2nd kind | Greg Childers, 07/06/2000
141709 = 122675 + 114198 + 112350 + 79884 + 75180 + 52164 + 24060  | 2nd kind | Greg Childers, 07/09/2000
144175 = 131292 + 114772 + 107793 + 41370 + 16452 + 11550 + 6048  | 2nd kind | Greg Childers, 07/11/2000
145681 = 134232 + 123480 + 67921 + 56826 + 56364 + 28032 + 25410  | 2nd kind | Greg Childers, 07/12/2000
152041 = 147910 + 107415 + 81690 + 58674 + 41790 + 34392 + 30996  | 2nd kind | Greg Childers, 07/19/2000
171971 = 166467 + 123438 + 96544 + 77742 + 51030 + 29058 + 8232  | 2nd kind | Laurent Lucas, 08/17/2000
172129 = 155568 + 147201 + 107436 + 68684 + 46158 + 41664 + 38052  | 2nd kind | Greg Childers, 08/04/2000
173905 = 166770 + 130326 + 93240 + 87486 + 72254 + 26481 + 3486  | 2nd kind | Laurent Lucas, 08/07/2000
177125 = 159306 + 142674 + 127428 + 101730 + 94458 + 17892 + 12901  | 2nd kind | Laurent Lucas, 08/21/2000
185659 = 173670 + 134386 + 130053 + 117600 + 70644 + 51216 + 3528  | 2nd kind | Greg Childers, 08/15/2000
194395 = 176778 + 147756 + 133560 + 124446 + 121716 + 80438 + 70917  | 2nd kind | Mark Dodrill, 08/19/2000
194395 = 172032 + 164556 + 140742 + 80438 + 72450 + 25851 + 18816  | 2nd kind | Mark Dodrill, 08/19/2000
198689 = 177548 + 170394 + 130830 + 94206 + 39480 + 38892 + 36609  | 2nd kind | Mark Dodrill, 08/23/2000
201133 = 189462 + 161524 + 103068 + 99918 + 31962 + 20034 + 9261  | 2nd kind | Jean-Charles Meyrignac, 08/24/2000
204497 = 177270 + 168294 + 163884 + 43120 + 31311 + 29904 + 9030  | 2nd kind | Mark Dodrill, 08/30/2000
204499 = 178290 + 170646 + 136626 + 127962 + 126224 + 103908 + 71085  | 2nd kind | Mark Dodrill, 08/30/2000
204737 = 204008 + 98280 + 91560 + 59724 + 47628 + 47418 + 30561  | 2nd kind | Rolan Christofferson, 11/27/2006
208289 = 195636 + 171444 + 76097 + 35460 + 32760 + 32592 + 5754  | 2nd kind | Rolan Christofferson, 11/27/2006
210215 = 206073 + 145026 + 86002 + 35070 + 34692 + 3966 + 3486  | 2nd kind | Rolan Christofferson, 11/27/2006
212405 = 191814 + 176148 + 133384 + 131880 + 98532 + 83748 + 9429  | 2nd kind | Rolan Christofferson, 11/27/2006
221959 = 214788 + 163338 + 105504 + 99225 + 53592 + 53472 + 49672  | 2nd kind | Rolan Christofferson, 11/27/2006
227653 = 203466 + 185304 + 173691 + 82096 + 26460 + 14028 + 4326  | 2nd kind | Rolan Christofferson, 11/27/2006
227959 = 204954 + 191058 + 158704 + 100044 + 85239 + 69258 + 67158  | 2nd kind | Rolan Christofferson, 11/27/2006
234571 = 220920 + 190008 + 108822 + 107562 + 63742 + 10731 + 9552  | 2nd kind | Rolan Christofferson, 11/27/2006
236323 = 227472 + 176778 + 111594 + 110397 + 95802 + 86436 + 76904  | 2nd kind | Rolan Christofferson, 11/27/2006
239147 = 237771 + 134022 + 76776 + 73108 + 70308 + 67242 + 4746  | 2nd kind | Rolan Christofferson, 12/10/2006
244147 = 219254 + 191310 + 185325 + 131670 + 126498 + 110208 + 62370  | 2nd kind | Rolan Christofferson, 01/11/2007
244463 = 241962 + 138159 + 127176 + 105700 + 75894 + 13104 + 5844  | 2nd kind | Rolan Christofferson, 01/11/2007
244537 = 231257 + 181230 + 162078 + 137214 + 89544 + 67410 + 55902  | 2nd kind | Rolan Christofferson, 01/11/2007
